station_id,name,address,evcs_mode_1,charging_protocol_1,evcs_mode_2,charging_protocol_2,longitude_latitude_z,longitude,latitude,city,province
evcs0264,SM By the Bay,"Seaside Blvd., Sm By The Bay, North Open Parking, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5808998,120.9578818,12z",14.5808998,120.9578818,Pasay City, National Capital Region - Fourth District
evcs0265,Gogoro Philippines Inc. - Paseo de Magallanes,"San Gregorio St, G/F Gateway Center, Magallanes, City Of Makati, National Capital Region - Fourth District",BSS,,,,"14.5807143,120.9764805,12z",14.5807143,120.9764805,Makati City, National Capital Region - Fourth District
evcs0266,ACMobility EV Charging Hub - BPI Magallanes South Branch,"Magallanes Village, Paseo De Magallanes, Barangay Magallanes, Gf - Lot 6 Blk. 5, Paseo De Magallanes, Magallanes, City Of Makati, National Capital Region - Fourth Distric",Mode 3 (AC),Type 2,,,"14.5805674,120.9764805,12z",14.5805674,120.9764805,Makati City, National Capital Region - Fourth Distric
evcs0267,"Venice Grand Canal Mall, Taguig","Mckinley Hill Dr,, B1, Pinagsama, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,,"14.5801367,121.0353639,13z",14.5801367,121.0353639,Taguig, Taguig - Pateros
evcs0268,VENICE GRAND CANAL MALL,"Mckinley Hill, Upper Mckinley Road, Basement 1, Venice Grand Canal Mall, Pinagsama, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,GB/T AC,"14.5798591,121.0352782,13z",14.5798591,121.0352782,Taguig, Taguig - Pateros
evcs0269,ACMobility Power On Wheels Hub - Makati,"Pres 1. Sergio Osmena Highway, Magallanes, City Of Makati, National Capital Region - Fourth District",Mode 4 (DC),CCS Combo 2,,GB/T DC,"14.5797217,120.9764805,12z",14.5797217,120.9764805,Makati City, National Capital Region - Fourth District
evcs0270,"SM Mall Of Asia, Pasay","Sm Mall Of Asia, Seaside Blvd, Pasay, 1300 Metro Manila, Ground Level, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5791668,120.9580004,12z",14.5791668,120.9580004,Pasay City, National Capital Region - Fourth District
evcs0271,BYD Makati Annex,"Einstein Street, Ground Floor, San Isidro, City Of Makati, National Capital Region - Fourth District",Mode 3 (AC),GB/T AC,,,"14.5787721,120.9669663,12z",14.5787721,120.9669663,Makati City, National Capital Region - Fourth District
evcs0272,Solarius EV Charging - Citadines Benavidez Makati,"Citdines Benavidez, Benavidez Street, 8th Floor, San Lorenzo, City Of Makati, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5787721,120.9669663,12z",14.5787721,120.9669663,Makati City, National Capital Region - Fourth District
evcs0273,Solarius EV Charging - Lyf Malate Manila and the Suites,"Lyf Malate Manila And The SuitesMalvar Corner Vasquez Street, Second Floor, Parking Lot, Barangay 701, Malate, National Capital Region - Manila",Mode 3 (AC),Type 2,,,"14.5787721,120.9619778,12z",14.5787721,120.9619778,Malate, National Capital Region - Manila
evcs0274,Evro - Shell Recharge Robinsons Manila,"Pedro Gil Corner M Adriatico Street, Basement, Barangay 669, Ermita, National Capital Region - Manila",Mode 3 (AC),Type 2,,,"14.5787721,120.9604521,12z",14.5787721,120.9604521,Ermita, National Capital Region - Manila
evcs0275,Boost+ EV CHARGER STATION NU Mall of Asia Building,"Coral Way, Pasay City, Metro Manila, 2nd Floor, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 4 (DC),CCS Combo 2,,,"14.5780233,120.9580004,12z",14.5780233,120.9580004,Pasay City, National Capital Region - Fourth District
evcs0276,GET PH EV Charging Station - Wells Fargo,"Campus Avenue, Ground Floor Parking Wells Fargo, Fort Bonifacio, Taguig, Taguig - Pateros",Mode 4 (DC),CCS Combo 2,,,"14.5779519,121.0353639,13z",14.5779519,121.0353639,Taguig, Taguig - Pateros
evcs0277,SM Center Angono,"Manila East Road, Cor M.L. Quezon St, Angono, Sm Center Angono, Covered Parking, Lower Ground, San Isidro, Angono, Rizal",Mode 3 (AC),Type 2,,,"14.5764636,121.0512372,12z",14.5764636,121.0512372,Angono, Rizal
evcs0278,Solarius EV Charging - Belmont Hotel Manila,"Belmont Hotel ManilaNewport Blvd, Newport City, Pasay, Basement 3, Park No. 01, Belmont Hotel Manila, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5753631,120.9764805,12z",14.5753631,120.9764805,Pasay City, National Capital Region - Fourth District
evcs0279,Parqal EV Chargers,"Building 5 Basement Parqal Mall, Baclaran, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5741015,120.9588965,12z",14.5741015,120.9588965,Parañaque City, National Capital Region - Fourth District
evcs0280,ACMobility EV Charging Hub - Greenbelt 3,"Esperanza, B1 Greenbelt 3, San Lorenzo, City Of Makati, National Capital Region - Fourth District",Mode 3 (AC),Type 2,Mode 4 (DC),CCS Combo 2,"14.5729604,120.9769531,12z",14.5729604,120.9769531,Makati City, National Capital Region - Fourth District
evcs0281,Solarius EV Charging - Fairmont and Raffles Hotel VIP Parking,"Fairmont And Raffles Hotel, Palm Drive, Ground Floor Vip Parking, San Lorenzo, City Of Makati, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5729604,120.9769531,12z",14.5729604,120.9769531,Makati City, National Capital Region - Fourth District
evcs0282,Solarius EV Charging - Fairmont and Raffles Hotel B1 Parking,"Raffles Drive, Makati Avenue, Basement 1 Parking Floor, Fairmont And Raffles, 1, San Lorenzo, City Of Makati, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5729604,120.9769531,12z",14.5729604,120.9769531,Makati City, National Capital Region - Fourth District
evcs0283,ACMobility EV Charging Hub - Legazpi Carpark,"Legazpi Village,  Legazpi St, Gf Corner 1229 V.A. Rufino, San Lorenzo, City Of Makati, National Capital Region - Fourth District",Mode 4 (DC),CCS Combo 2,,,"14.5729604,120.9748115,12z",14.5729604,120.9748115,Makati City, National Capital Region - Fourth District
evcs0284,ACMobility EV Charging Hub - One Legazpi Park Condominium,"Legazpi Village, Rada St, Gf, One Legazpi Park,, San Lorenzo, City Of Makati, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5729604,120.9748115,12z",14.5729604,120.9748115,Makati City, National Capital Region - Fourth District
evcs0285,Solarius EV Charging-Somerset Millennium Makati,"Legazpi Village, 104 Aguirre Street, B1-3&4, Somerset Millennium Makati, Poblacion, City Of Makati, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5729604,120.9748115,12z",14.5729604,120.9748115,Makati City, National Capital Region - Fourth District
evcs0286,GPI EV Charging Station,"Afpovai55 Bayani Road, Parking Lot 1 And 2, Ground Floor, Western Bicutan, Taguig, Taguig - Pateros",Mode 3 (AC),,,,"14.5719265,121.0298801,13z",14.5719265,121.0298801,Taguig, Taguig - Pateros
evcs0287,City Of Dreams,"Entertainment City Roxas Boulevard Corner Asean Avenue, Diosdado Macapagal Blvd, Ground Floor Parking, Tambo, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5712061,120.9633379,12z",14.5712061,120.9633379,Parañaque City, National Capital Region - Fourth District
evcs0288,ACMobility EV Charging Hub - Ayala Malls Manila Bay,"717 Diosdado Macapagal Blvd, Gf, Tambo, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,Mode 4 (DC),CCS Combo 2,"14.5712061,120.962731,12z",14.5712061,120.962731,Parañaque City, National Capital Region - Fourth District
evcs0289,ACMobility EV Charging Hub - Seda Hotel Manila Bay,"Abueva St, Gf, Tambo, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5712061,120.962343,12z",14.5712061,120.962343,Parañaque City, National Capital Region - Fourth District
evcs0290,ACMobility EV Charging Hub - BYD Dealership Manila Bay,"6513 Bradco Ave., Aseana City, Gf, Tambo, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,Mode 4 (DC),CCS Combo 2,"14.5704053,120.9588965,12z",14.5704053,120.9588965,Parañaque City, National Capital Region - Fourth District
evcs0291,Reach,"Mall Of Asia Complex (Bay Area)Macapagal Boulevard, Gf, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,Mode 4 (DC),GB/T DC,"14.5692642,120.9625746,12z",14.5692642,120.9625746,Pasay City, National Capital Region - Fourth District
evcs0292,Solarius EV Charging - Citadines Bay City Manila,"Citadines Bay, Diosdado Macapagal Boulevard, Corner Coral Way, Ground Floor-Citadines Bay City Manila, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5692642,120.962446,12z",14.5692642,120.962446,Pasay City, National Capital Region - Fourth District
evcs0293,Boost + (Mall of Asia Arena Annex (MAAX) Building),"Coral Way Cor. J.W. Diokno Boulevard Mall Of Asia Complex, Pasay City,, 2nd Floor, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 4 (DC),CCS Combo 2,,,"14.5692642,120.9600504,12z",14.5692642,120.9600504,Pasay City, National Capital Region - Fourth District
evcs0294,MOA Square,"Mall Of Asia Complex, Marina Way, Moa Square, 2nd Level Parking, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,GB/T AC,"14.5692642,120.9593485,12z",14.5692642,120.9593485,Pasay City, National Capital Region - Fourth District
evcs0295,"Sysnet Integrators Inc. - Pasay City, Harbor Drive(Palm Coast Ave.),","Harbor Drive(Palm Coast Ave.),, 2nd Floor Five E-Com Center Parking Lot, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5692642,120.95927,12z",14.5692642,120.95927,Pasay City, National Capital Region - Fourth District
evcs0296,SM Mall of Asia,"J.W. Diokno Boulevard, Sm Mall Of Asia, 3rd Level, North Parking Building, Sunset Avenue, Mall Of Asia Complex, Zone 10, Cbp1a, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5692642,120.9591471,12z",14.5692642,120.9591471,Pasay City, National Capital Region - Fourth District
